HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
98,26,3.22074193e-05,1.02814207e-04,1.67824364e-05,562
98,27,2.41507241e-05,3.02947064e-05,1.78186765e-05,811
98,28,6.22972366e-05,1.49496900e-05,1.76911417e-05,830
98,29,1.05441315e-04,1.21846337e-04,1.80758670e-05,13
98,30,2.41699072e-05,3.04654313e-05,2.09462050e-05,18
98,31,8.67561830e-05,6.69698420e-05,2.25244694e-05,20
98,32,7.34141722e-05,3.67900029e-05,2.57110696e-05,1556
98,33,1.08985871e-04,3.75121490e-05,2.49561126e-05,1045
98,34,9.66541047e-05,5.22130358e-05,2.46381951e-05,656
98,35,5.75922968e-05,8.69396972e-05,2.67144696e-05,1232
98,36,1.04503735e-04,1.13856422e-05,2.65367798e-05,56
98,37,2.56332132e-05,5.67341704e-05,2.89740565e-05,930
98,38,3.06219772e-05,1.28577653e-04,2.86606828e-05,1647
98,39,4.62079915e-05,8.45917311e-05,2.97249244e-05,969
98,40,6.16385514e-05,8.69523210e-05,3.10357646e-05,2452
98,41,1.12572357e-04,2.35088046e-05,3.18378152e-05,680
98,42,5.66982635e-05,3.00561951e-05,3.27209927e-05,987
98,43,4.56718044e-05,1.32680900e-04,3.31631745e-05,1770
98,44,1.10529536e-05,1.21850717e-04,3.23029599e-05,76
98,45,5.44056056e-05,6.40547951e-05,3.42851017e-05,797
98,46,2.99304503e-07,8.84444889e-05,3.43687716e-05,164
98,47,1.40600881e-04,8.85561385e-05,3.30711446e-05,22
98,48,9.31465183e-05,1.16548108e-05,3.42455824e-05,530
98,49,9.87092208e-05,8.33973263e-06,3.49996226e-05,504
98,50,2.30879687e-05,5.57558014e-05,3.47810601e-05,1034
98,51,7.34086570e-05,5.23443559e-05,3.63643267e-05,1124
98,52,1.62641245e-05,5.33010061e-05,3.55479315e-05,775
98,53,5.19958339e-05,7.93166764e-05,3.73377734e-05,953
98,54,3.25480469e-05,2.15033997e-05,3.61766943e-05,31
98,55,7.96554596e-05,5.50371878e-05,3.76617936e-05,630
98,56,7.47070153e-05,4.72502434e-05,3.87322762e-05,1558
98,57,1.15906245e-04,2.51742513e-05,4.19157295e-05,1593
98,58,2.17850047e-05,7.14403723e-05,4.07508705e-05,709
98,59,1.23653648e-04,7.41629701e-05,4.06953841e-05,744
98,60,1.05124818e-04,9.51394250e-05,4.24715290e-05,1534
98,61,4.79057126e-05,1.04966159e-04,4.19361713e-05,541
98,62,1.30602639e-04,4.65327721e-05,4.47973653e-05,967
98,63,1.17965428e-04,3.36810735e-05,4.37047238e-05,615
98,64,3.44221553e-05,8.98478975e-05,4.51822707e-05,1100
98,65,9.33030606e-05,1.18164433e-04,4.52077402e-05,1565
98,66,5.26561234e-05,9.05652705e-05,4.44685684e-05,704
98,67,8.29794444e-05,1.36573392e-04,4.62311873e-05,1585
98,68,4.16063413e-05,4.92541812e-06,4.50008920e-05,210
98,69,5.71862329e-05,1.02877948e-05,4.57538445e-05,252
98,70,4.71704589e-05,5.63606809e-05,4.85346900e-05,1219
98,71,5.43776150e-05,1.10032714e-04,4.84036100e-05,888
